CVE_ID,Tag,iscore,,cvss
CVE-2023-40439,log forging,3,,3.3
CVE-2023-40529,directory traversal,2,,2.4
CVE-2023-41056,directory traversal,2,,8.1
CVE-2023-41060,directory traversal,2,,8.8
CVE-2023-41069,directory traversal,2,,5.5
CVE-2023-41075,directory traversal,2,,7.8
CVE-2023-41603,directory traversal,2,,5.3
CVE-2023-4164,directory traversal,2,,8.4
CVE-2023-41710,xss,7,,5.4
CVE-2023-41776,directory traversal,2,,6.7
CVE-2023-41779,directory traversal,2,,4.4
CVE-2023-41780,directory traversal,2,,6.4
CVE-2023-41781,xss,7,,5.7
CVE-2023-41782,directory traversal,2,,3.9
CVE-2023-41783,cookie injection,1,,4.3
CVE-2023-41784,directory traversal,2,,6.6
CVE-2023-41974,directory traversal,2,,7.8
CVE-2023-41987,directory traversal,2,,5.5
CVE-2023-41994,log forging,3,,5.5
CVE-2023-42134,log forging,3,,6.8
CVE-2023-42135,log forging,3,,6.8
CVE-2023-42136,log forging,3,,7.8
CVE-2023-42137,log forging,3,,7.8
CVE-2023-42358,log forging,3,,7.7
CVE-2023-4246,log forging,3,,4.3
CVE-2023-42463,rce,5,,7.4
CVE-2023-4247,log forging,3,,5.4
CVE-2023-4248,log forging,3,,5.4
CVE-2023-42797,cookie injection,1,,6.6
CVE-2023-4280,directory traversal,2,,9.3
CVE-2023-42826,directory traversal,2,,7.8
CVE-2023-42828,directory traversal,2,,7.8
CVE-2023-42829,directory traversal,2,,5.5
CVE-2023-42830,log forging,3,,3.3
CVE-2023-42831,directory traversal,2,,5.5
CVE-2023-42832,directory traversal,2,,7
CVE-2023-42833,directory traversal,2,,8.8
CVE-2023-42862,directory traversal,2,,6.5
CVE-2023-42865,directory traversal,2,,6.5
CVE-2023-42866,directory traversal,2,,8.8
CVE-2023-42869,directory traversal,2,,7.5
CVE-2023-42870,directory traversal,2,,7.8
CVE-2023-42871,directory traversal,2,,7.8
CVE-2023-42872,directory traversal,2,,5.5
CVE-2023-42876,log forging,3,,7.1
CVE-2023-42929,directory traversal,2,,5.5
CVE-2023-42933,directory traversal,2,,7.8
CVE-2023-42934,directory traversal,2,,4.2
CVE-2023-42941,log forging,3,,4.8
CVE-2023-43511,directory traversal,2,,7.5
CVE-2023-43512,directory traversal,2,,7.5
CVE-2023-43514,directory traversal,2,,8.4
CVE-2023-4372,cookie injection,1,,6.4
CVE-2023-44120,cookie injection,1,,7.8
CVE-2023-44250,directory traversal,2,,8.8
CVE-2023-45139,directory traversal,2,,7.5
CVE-2023-45169,rce,5,,6.2
CVE-2023-45171,rce,5,,6.2
CVE-2023-45173,rce,5,,6.2
CVE-2023-45175,rce,5,,6.2
CVE-2023-45559,directory traversal,2,,8.2
CVE-2023-45561,directory traversal,2,,5.3
CVE-2023-45722,directory traversal,2,,8.8
CVE-2023-45723,directory traversal,2,,7.6
CVE-2023-45724,directory traversal,2,,8.2
CVE-2023-45892,directory traversal,2,,7.5
CVE-2023-45893,directory traversal,2,,7.5
CVE-2023-46226,directory traversal,2,,9.8
CVE-2023-46308,directory traversal,2,,9.8
CVE-2023-46474,directory traversal,2,,7.2
CVE-2023-46712,directory traversal,2,,7.2
CVE-2023-46738,rce,5,,6.5
CVE-2023-46739,rce,5,,6.5
CVE-2023-46740,rce,5,,6.5
